iter	Passed	Remaining
401	14076	10435
402	14103	10394
403	14132	10354
404	14160	10314
405	14190	10275
406	14221	10238
407	14254	10201
408	14286	10164
409	14317	10126
410	14343	10085
411	14372	10046
412	14401	10007
413	14431	9969
414	14456	9927
415	14480	9885
416	14504	9843
417	14533	9804
418	14558	9763
419	14587	9724
420	14613	9684
421	14642	9645
422	14668	9605
423	14697	9567
424	14722	9526
425	14749	9486
426	14780	9449
427	14808	9411
428	14838	9373
429	14866	9334
430	14897	9298
431	14927	9260
432	14958	9223
433	14989	9187
434	15015	9147
435	15043	9109
436	15072	9071
437	15100	9032
438	15125	8992
439	15150	8952
440	15174	8912
441	15202	8873
442	15230	8835
443	15258	8797
444	15287	8760
445	15312	8720
446	15340	8682
447	15371	8646
448	15395	8606
449	15422	8567
450	15452	8531
451	15476	8491
452	15506	8454
453	15533	8416
454	15557	8377
455	15586	8340
456	15616	8303
457	15642	8265
458	15670	8227
459	15697	8190
460	15725	8152
461	15751	8114
462	15777	8075
463	15801	8036
464	15828	7999
465	15857	7962
466	15889	7927
467	15914	7889
468	15941	7851
469	15971	7815
470	15998	7778
471	16027	7742
472	16054	7704
473	16078	7666
474	16109	7630
475	16134	7592
476	16164	7557
477	16194	7521
478	16220	7483
479	16252	7449
480	16280	7412
481	16309	7376
482	16334	7338
483	16357	7300
484	16383	7262
485	16413	7227
486	16441	7191
487	16469	7154
488	16501	7120
489	16530	7084
490	16552	7045
491	16575	7007
492	16604	6971
493	16631	6935
494	16660	6899
495	16684	6861
496	16714	6826
497	16737	6789
498	16763	6752
499	16795	6718
500	16824	6682
501	16851	6646
502	16880	6611
503	16907	6574
504	16937	6540
505	16966	6505
506	16994	6469
507	17025	6434
508	17050	6398
509	17083	6364
510	17117	6331
511	17145	6295
512	17175	6260
513	17205	6226
514	17234	6190
515	17257	6153
516	17279	6116
517	17307	6080
518	17334	6045
519	17362	6010
520	17390	5974
521	17413	5938
522	17438	5901
523	17465	5866
524	17494	5831
525	17523	5796
526	17549	5760
527	17579	5726
528	17608	5692
529	17642	5658
530	17669	5623
531	17701	5589
532	17725	5553
533	17757	5520
534	17782	5484
535	17806	5448
536	17834	5413
537	17863	5378
538	17892	5344
539	17920	5309
540	17949	5275
541	17979	5241
542	18002	5205
543	18032	5170
544	18064	5137
545	18093	5103
546	18123	5069
547	18151	5034
548	18180	5000
549	18208	4966
550	18237	4931
551	18266	4897
552	18300	4864
553	18328	4830
554	18354	4795
555	18387	4762
556	18416	4728
557	18446	4694
558	18473	4659
559	18505	4626
560	18530	4591
561	18558	4557
562	18584	4522
563	18612	4488
564	18641	4454
565	18671	4420
566	18697	4385
567	18726	4351
568	18756	4318
569	18783	4284
570	18813	4250
571	18845	4217
572	18870	4182
573	18894	4147
574	18922	4113
575	18949	4079
576	18975	4045
577	19001	4010
578	19034	3977
579	19067	3945
580	19092	3910
581	19115	3875
582	19142	3841
583	19170	3807
584	19198	3774
585	19226	3740
586	19253	3706
587	19282	3672
588	19311	3639
589	19339	3605
590	19365	3571
591	19389	3537
592	19418	3503
593	19443	3469
594	19470	3435
595	19502	3403
596	19524	3368
597	19555	3335
598	19578	3301
599	19607	3267
600	19636	3234
601	19659	3200
602	19689	3167
603	19716	3133
604	19741	3099
605	19766	3066
606	19799	3033
607	19829	3000
608	19861	2967
609	19889	2934
610	19915	2900
611	19943	2867
612	19971	2834
613	19999	2801
614	20029	2768
615	20056	2734
616	20082	2701
617	20110	2668
618	20135	2634
619	20161	2601
620	20191	2568
621	20215	2535
622	20242	2501
623	20266	2468
624	20292	2435
625	20318	2401
626	20343	2368
627	20371	2335
628	20403	2303
629	20431	2270
630	20459	2237
631	20488	2204
632	20517	2171
633	20541	2138
634	20569	2105
635	20593	2072
636	20627	2040
637	20651	2006
638	20675	1973
639	20703	1940
640	20727	1907
641	20754	1875
642	20786	1842
643	20811	1809
644	20835	1776
645	20865	1744
646	20891	1711
647	20918	1678
648	20941	1645
649	20969	1613
650	20996	1580
651	21025	1547
652	21049	1515
653	21077	1482
654	21109	1450
655	21132	1417
656	21157	1384
657	21185	1352
658	21210	1319
659	21241	1287
660	21279	1255
661	21307	1223
662	21334	1190
663	21362	1158
664	21393	1125
665	21419	1093
666	21450	1061
667	21475	1028
668	21500	996
669	21527	963
670	21559	931
671	21587	899
672	21615	867
673	21640	834
674	21668	802
675	21698	770
676	21726	738
677	21750	705
678	21779	673
679	21805	641
680	21829	609
681	21854	576
682	21884	544
683	21909	512
684	21943	480
685	21971	448
686	21998	416
687	22027	384
688	22055	352
689	22085	320
690	22110	287
691	22138	255
692	22171	223
693	22194	191
694	22220	159
695	22245	127
696	22274	95
697	22300	63
698	22328	31
699	22357	0
